Release Date,Actual,Forecast,Previous
2025-02-03,50.9,49.3,49.2
2025-01-03,49.3,48.2,48.4
2024-12-02,48.4,47.7,46.5
2024-11-01,46.5,47.6,47.2
2024-10-01,47.2,47.6,47.2
2024-09-03,47.2,47.5,46.8
2024-08-01,46.8,48.8,48.5
2024-07-01,48.5,49.2,48.7
2024-06-03,48.7,49.8,49.2
2024-05-01,49.2,50.0,50.3
2024-04-01,50.3,48.5,47.8
2024-03-01,47.8,49.5,49.1
2024-02-01,49.1,47.2,47.1
2024-01-03,47.4,47.1,46.7
2023-12-01,46.7,47.6,46.7
2023-11-01,46.7,49.0,49.0
2023-10-02,49.0,47.7,47.6
2023-09-01,47.6,47.0,46.4
2023-08-01,46.4,46.8,46.0
2023-07-03,46.0,47.2,46.9
2023-06-01,46.9,47.0,47.1
2023-05-01,47.1,46.8,46.3
2023-04-03,46.3,47.5,47.7
2023-03-01,47.7,48.0,47.4
2023-02-01,47.4,48.0,48.4
2023-01-04,48.4,48.5,49.0
2022-12-01,49.0,49.8,50.2
2022-11-01,50.2,50.0,50.9
2022-10-03,50.9,52.2,52.8
2022-09-01,52.8,52.0,52.8
2022-08-01,52.8,52.0,53.0
2022-07-01,53.0,54.9,56.1
2022-06-01,56.1,54.5,55.4
2022-05-02,55.4,57.6,57.1
2022-04-01,57.1,59.0,58.6
2022-03-01,58.6,58.0,57.6
2022-02-01,57.6,57.5,58.8
2022-01-04,58.7,60.0,61.1
2021-12-01,61.1,61.0,60.8
2021-11-01,60.8,60.5,61.1
2021-10-01,61.1,59.6,59.9
2021-09-01,59.9,58.6,59.5
2021-08-02,59.5,60.9,60.6
2021-07-01,60.6,61.0,61.2
2021-06-01,61.2,60.9,60.7
2021-05-03,60.7,65.0,64.7
2021-04-01,64.7,61.3,60.8
2021-03-01,60.8,58.8,58.7
2021-02-01,58.7,60.0,60.5
2021-01-05,60.7,56.6,57.5
2020-12-01,57.5,58.0,59.3
2020-11-02,59.3,55.8,55.4
2020-10-01,55.4,56.4,56.0
2020-09-01,56.0,54.5,54.2
2020-08-03,54.2,53.6,52.6
2020-07-01,52.6,49.5,43.1
2020-06-01,43.1,43.0,41.5
2020-05-01,41.5,36.9,49.1
2020-04-01,49.1,45.0,50.1
2020-03-02,50.1,50.5,50.9
2020-02-03,50.9,48.5,47.8
2020-01-03,47.2,49.0,48.1
2019-12-02,48.1,49.2,48.3
2019-11-01,48.3,48.9,47.8
2019-10-01,47.8,50.4,49.1
2019-09-03,49.1,51.1,51.2
2019-08-01,51.2,52.0,51.7
2019-07-01,51.7,51.0,52.1
2019-06-03,52.1,53.0,52.8
2019-05-01,52.8,55.0,55.3
2019-04-01,55.3,54.5,54.2
2019-03-01,54.2,55.5,56.6
2019-02-01,56.6,54.2,54.3
2019-01-03,54.1,57.7,59.3
2018-12-03,59.3,57.6,57.7
2018-11-01,57.7,59.0,59.8
2018-10-01,59.8,60.1,61.3
2018-09-04,61.3,57.6,58.1
2018-08-01,58.1,59.4,60.2
2018-07-02,60.2,58.4,58.7
2018-06-01,58.7,58.2,57.3
2018-05-01,57.3,58.6,59.3
2018-04-02,59.3,60.1,60.8
2018-03-01,60.8,58.7,59.1
2018-02-01,59.1,58.8,59.7
2018-01-03,59.7,58.1,58.2
2017-12-01,58.2,58.4,58.7
2017-11-01,58.7,59.5,60.8
2017-10-02,60.8,58.0,58.8
2017-09-01,58.8,56.5,56.3
2017-08-01,56.3,56.5,57.8
2017-07-03,57.8,55.2,54.9
2017-06-01,54.9,54.5,54.8
2017-05-01,54.8,56.5,57.2
2017-04-03,57.2,57.0,57.7
2017-03-01,57.7,56.0,56.0
2017-02-01,56.0,55.0,54.5
2017-01-03,54.7,53.6,53.2
2016-12-01,53.2,52.2,51.9
2016-11-01,51.9,51.7,51.5
2016-10-03,51.5,50.3,49.4
2016-09-01,49.4,52.0,52.6
2016-08-01,52.6,53.0,53.2
2016-07-01,53.2,51.4,51.3
2016-06-01,51.3,50.4,50.8
2016-05-02,50.8,51.4,51.8
2016-04-01,51.8,50.7,49.5
2016-03-01,49.5,48.5,48.2
2016-02-01,48.2,48.1,48.0
2016-01-04,48.2,49.0,48.6
2015-12-01,48.6,50.5,50.1
2015-11-02,50.1,50.0,50.2
2015-10-01,50.2,50.6,51.1
2015-09-01,51.1,52.6,52.7
2015-08-03,52.7,53.5,53.5
2015-07-01,53.5,53.1,52.8
2015-06-01,52.8,52.0,51.5
2015-05-01,51.5,52.0,51.5
2015-04-01,51.5,52.5,52.9
2015-03-02,52.9,53.0,53.5
2015-02-02,53.5,54.5,55.5
2015-01-02,55.5,57.6,58.7
2014-12-01,58.7,57.9,59.0
2014-11-03,59.0,56.2,56.6
2014-10-01,56.6,58.5,59.0
2014-09-02,59.0,56.8,57.1
2014-08-01,57.1,56.0,55.3
2014-07-01,55.3,55.8,55.4
2014-06-02,55.4,55.5,54.9
2014-05-01,54.9,54.3,53.7
2014-04-01,53.7,54.0,53.2
