Date,retail_sales
2014-02-01,378355.0
2014-03-01,382101.0
2014-04-01,386376.0
2014-05-01,386735.0
2014-06-01,387708.0
2014-07-01,388043.0
2014-08-01,391074.0
2014-09-01,389456.0
2014-10-01,390413.0
2014-11-01,391491.0
2014-12-01,388012.0
2015-01-01,385312.0
2015-02-01,384779.0
2015-03-01,390738.0
2015-04-01,391246.0
2015-05-01,394260.0
2015-06-01,394652.0
2015-07-01,397994.0
2015-08-01,397712.0
2015-09-01,395625.0
2015-10-01,394121.0
2015-11-01,395827.0
2015-12-01,396822.0
2016-01-01,394305.0
2016-02-01,397747.0
2016-03-01,396522.0
2016-04-01,397977.0
2016-05-01,399587.0
2016-06-01,404408.0
2016-07-01,403560.0
2016-08-01,403580.0
2016-09-01,405979.0
2016-10-01,407000.0
2016-11-01,405846.0
2016-12-01,412437.0
2017-01-01,415660.0
2017-02-01,415563.0
2017-03-01,414869.0
2017-04-01,416613.0
2017-05-01,414253.0
2017-06-01,416255.0
2017-07-01,416403.0
2017-08-01,416861.0
2017-09-01,426256.0
2017-10-01,426561.0
2017-11-01,431085.0
2017-12-01,433299.0
2018-01-01,431006.0
2018-02-01,433647.0
2018-03-01,432774.0
2018-04-01,434998.0
2018-05-01,440091.0
2018-06-01,437762.0
2018-07-01,440024.0
2018-08-01,439439.0
2018-09-01,438880.0
2018-10-01,443924.0
2018-11-01,445847.0
2018-12-01,435613.0
2019-01-01,438860.0
2019-02-01,439249.0
2019-03-01,446687.0
2019-04-01,446833.0
2019-05-01,449524.0
2019-06-01,449409.0
2019-07-01,453221.0
2019-08-01,456082.0
2019-09-01,452230.0
2019-10-01,453365.0
2019-11-01,456587.0
2019-12-01,457253.0
2020-01-01,456420.0
2020-02-01,456401.0
2020-03-01,429196.0
2020-04-01,376918.0
2020-05-01,443726.0
2020-06-01,473811.0
2020-07-01,480116.0
2020-08-01,482243.0
2020-09-01,491386.0
2020-10-01,489705.0
2020-11-01,487287.0
2020-12-01,495533.0
2021-01-01,511693.0
2021-02-01,498200.0
2021-03-01,550963.0
2021-04-01,554420.0
2021-05-01,545289.0
2021-06-01,548693.0
2021-07-01,537817.0
2021-08-01,542140.0
2021-09-01,545726.0
2021-10-01,555517.0
2021-11-01,562175.0
2021-12-01,558148.0
2022-01-01,571325.0
2022-02-01,574609.0
2022-03-01,585912.0
2022-04-01,592141.0
2022-05-01,589282.0
2022-06-01,593360.0
2022-07-01,589039.0
2022-08-01,590987.0
2022-09-01,588894.0
2022-10-01,595839.0
2022-11-01,588309.0
2022-12-01,581749.0
2023-01-01,603496.0
2023-02-01,598274.0
2023-03-01,590606.0
2023-04-01,594962.0
2023-05-01,596688.0
2023-06-01,598006.0
2023-07-01,599270.0
2023-08-01,604187.0
2023-09-01,609130.0
2023-10-01,606170.0
2023-11-01,602896.0
2023-12-01,606961.0
2024-01-01,601921.0
2024-02-01,606720.0
2024-03-01,610060.0
2024-04-01,608458.0
2024-05-01,610010.0
2024-06-01,607986.0
2024-07-01,615960.0
2024-08-01,614535.0
2024-09-01,620104.0
2024-10-01,623269.0
2024-11-01,628727.0
2024-12-01,632249.0
